;Termine;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;P13;P14;P15;P16;P17;P18;P19;P20;P21;P22;P23;P24;P25;P26;P27;P28;P29;P30;P31;P32;P33;P34;P35;P36;P37;P38;P39;P40;P41
CG;Pantalone;Indumento per la parte inferiore del corpo umano;Indumento per le gambe, diviso per ogni gamba può essere lungo o corto e di diversi tessuti;abito indossato sulle gambe;capo di abbigliamento per le gambe;Indumento indossato nella parte inferiore del corpo, copre le gambe.;Indumento per la parte inferiore del corpo che può coprire parzialmente o totalmente le gambe.;Capo indossabile che copre la parte inferiore del corpo, in cui ogni gamba è coperta singolarmente;indumento indossabile da una persona tipicamente di colore blu e particolarmente resistente;Indumento che copre le gambe di una persona;Indumento da indossare dalla vita in giù;Indumento vestibile nella parte bassa del corpo;Indumento di diverso materiale che si indossa per coprire le gambe;capo di abbigliamento per le gambe, possono essere di diverso materiale;Indumento per coprire le gambe;vestiario da indossare sulle gambe;indumento indossabile nella parte inferiore del corpo;indumento indossato sulle gambe;ritaglio di stoffa lavorato in maniera tale da risultare una protezione per il basso ventre e le gambe ;Insieme di pezzi di stoffa cuciti tra loro per fornire calore e copertura alla parte inferiore del corpo umano;Capo di abbigliamento per la parte inferiore del corpo ;è un indumento per le gambe;Indumento che si indossa nella parte bassa del corpo, che serve a coprire le gambe e la parte del basso ventre;È un indumento che si indossa per la parte inferiore del corpo;indumento per coprire le gambe;Capo di abbigliamento per le gambe;indumento;indumento che ricopre le gambe e il bacino;indumento per coprire le gambe;;indumento che copre le gambe;Indumento per la parte inferiore del corpo provvisto di due separati canali di tessuto per le gambe;Indumento per la parte inferiore del corpo dalla cintura fino alle caviglie.;Vestiario per la parte le gambe;Indumento adibito ad essere indossato nella parte inferiore del corpo;Indumento resistente e popolare;abbigliamento fatto di tessuto più o meno sintetico che copre le gambe;indumento che si indossa dalla vita in giù, può essere corto o lungo e realizzato con diversi tipi di tessuto;capo di abbigliamento indossabile nella parte inferiore del corpo;capo di abbigliamento per coprire le gambe;Vestito, abito, maschile o femminile che copre le gambe dalla cintura in giù;Capo d'abbigliamento indossato sulla parte inferiore del corpo.
CS;Microscopio;Strumento scientifico per l'osservazione di micro-organismi;Dispositivo ottico o elettronico per ispezionare oggetti molto piccoli e solitamente non visibili ad occhio nudo;strumento dotato di lenti che permette di visualizzare entità molto piccole;strumento per osservare da vicino cose molto piccole;Strumento scientifico utilizzato per ingrandire oggetti;Strumento che permette di ingrandire oggetti ed elementi fino a una scala impossibile da raggiungere ad occhio nudo.;dispositivo per vedere oggetti visibili solo nella scale delle cellule;dispositivo utilizzato per l'analisi e la visione di dettagli piccoli invisibili ad occhio nudi in oggetti di varia natura;Strumento per osservare elementi non visibili a occhio nudo;Strumento impiegato per facilitare la visualizzazione di oggetti molto piccoli e non direttamente visibili a occhio nudo;Strumento utilizzato per ingrandire elementi difficili o impossibili da visualizzare a occhio nudo;Strumento di precisione utilizzato per osservare oggetti di piccole dimensioni in campo scientifico;strumento scientifico che, usando diverse tecnologie, permette di vedere oggetti invisibili ad occhio nudo;Strumento utilizzato in ambito scientifico per osservare corpi molto piccoli;strumento utile ad osservare entità microscopiche e microrganismi;strumento utilizzato per osservare materia a livello di particelle;strumento di laboratorio per aumentare le dimensioni di oggetti/organismi piccolissimi ;"strumento scientifico utilizzato per osservare ""oggetti"" molto piccoli";Prodigio della scienza che permette di osservare elementi e/o organismi normalmente non visibili ad occhio nudo;Strumento per osservare oggetti di piccole dimensioni non visibili ad occhio nudo ;Strumento per analizzare nel dettaglio oggetti di piccole dimensioni ;Strumento scientifico composto da una base su cui appoggiare il materiale da analizzare e un corpo, composto da diverse lenti d'ingrandimento e un cilindro tramite cui è possibile vedere il materiale analizzato.;È uno strumento che viene utilizzato come una lente di ingradimento molto potente per vedere cose che non si riescono a vedere con l'occhio umano.;strumento usato in ambito scientifico per l'osservazione di oggetti molto piccoli ;Strumento scientifico per l'osservazione di elementi dell'ordine di grandezza di 10^-6;apparecchio scientifico;strumento dotato di ottiche capace di ingrandire l'elemento posto dietro la lente;strumento scientifico per analizzare i dettagli di oggetti;;strumento tecnologico per vedere cose molto piccole;Macchinario dotato di lente atta ad ingrandire un oggetto;Strumento utilizzato per osservare e analizzare oggetti e fenomeni altrimenti invisibili a occhio nudo.;;Strumento che consente di osservare elementi non visibili all'occhio umano;strumento che ingranisce oggetti piccoli;strumento scientifico con scopo di ricerca su organismi non visibili all’occhio umano;strumento per la visione ingrandita di oggetti a bassi ordini di grandezza ;strumento scientifico per osservare oggetti non visibili ad occhio nudo ;un dispositivo scientifico che utilizza lenti per ingrandire gli oggetti;strumento generalmente utilizzato a scopi di ricerca che serve a massimizzare la visione di elementi o entità di piccole dimensioni;Strumento utilizzato per vedere oggetti di piccole dimansioni
AG;Pericolo;Situazione potenzialmente rischiosa;Situazione in cui si teme per la propria o altrui incolumità, le caue pssono essere ambientali o psicologiche.;condizione che può causare danni alle persone e oggetti conivolti;Evento che minaccia la sicurezza di una persona;Situazione dove é minacciata la sicurezza di una persona.;Situazione in cui è a rischio l’incolumità di qualcuno o qualcosa.;Evento in cui ci si la propria vita si sente minacciata;situazione che compromette la sicurezza di un soggetto ;situazione che minaccia la sicurezza di un soggetto;Situazione in cui l’incolumità della persona è a rischio;Situazione di poca sicurezza;Una situazione o un evento che può nuocere fisicamente o psicologicamente una persona;minaccia alla sicurezza di persone, oggetti o sistemi;Percezione umana innescata da un evento che mina la sicurezza del soggetto;evento rischioso che può ledere alla incolumità fisica o mentale di una persona;situazione che può arrecare danno ;evento che rappresenta un rischio per l'integrità di un altro evento, oggetto o persona;rischio, minaccia;Situazione generica in cui una persona, animale o cosa non vorrebbe ritrovarsi onde evitare una improvvisa riduzione delle proprie aspettative di vita.;Situazione o sensazione di minaccia ;Situazione che attiva un meccanismo di difesa per la tua incolumità ;Percezione di una situazione di manato confort in cui l'individuo si sente sotto attacco ed è pronto alla fuga;È una situazione spaventosa e ansiosa che può comportare ad avvenimenti molto brutti.;situazione che mette a rischio l'incolumità di un individuo;Situazione o sentimento che provoca insicurezza;minaccia;situazione o sentimento provato da una persona di insicurezza, instabilità e paura;è in una situazione in cui un individuo teme per la sua incolumità in determinate circostanze;;;Contesto che mina la sicurezza o l'integrità di qualcosa;Situazione in cui la propria o altrui incolumità è a rischio.;;Situazione in cui l'incolumità fisica o psicologica è minacciata;situazione che può provocare sofferenza;situazioni in cui viene messa a rischio la vita di un individuo;situazione in cui si rischia di subire una qualche forma di danno  ;percezione di una situazione di minaccia;situazione di rischio;situazione in cui si teme di essere esposti a danni fisici o morali;E' una caratteristica che definisce situazioni che possono portare a un danno dell'individuo
AS;Euristica;Strategia di ricerca nello spazio degli stati;Strategia di ricerca che permette di stimare il costo che separa la soluzione attualmente selezionata dall'obbiettivo da raggiungere. Permette di scegliere la strada più promettente per proseguire la ricerca;regola che permette di approssimare una soluzione ottima a un problema ;;Funzione che stima la distanza dallo stato attuale allo stato obiettivo.;Strategia adottata durante la risoluzione di un problema al fine di raggiungere la soluzione in maniera più rapida ed efficiente.;Funzione per approssimare un comportamento;ipotesi assunta nella ricerca scientifica e metodologia adottata;Metodologia di ricerca di fatti o verità;Metedologia per trovare soluzione migliore rispetto al problema dato;Criterio per stimare la bontà di un percorso scelto da un algoritmo;Una tecnica che può essere utilizzata per ottimizzare, migliorare o semplificare un qualche tipo di problema matematico o algoritmico;criterio in base a cui un processo decisionale, spesso un algoritmo, è in grado di scegliere tra possibili alternative quella migliore;Misura utilizzata per stimare la bontá di una scelta ai fini di raggiungere un goal;regola da utilizzare per semplificare la risoluzione di un problema;linea guida ;Regola per aiutare a prendere decisioni;parte della scienza che ha come oggetto la ricerca tramite stima;Regola stipulata in quanto direttrice (e metodo di valutazione) di una ricerca di un risultato dato un problema preso in considerazione.;Assunzione di fatti nell'ipotesi di lavoro che guidano il processo ;Stima di un costo utile a guidare un processo di decisone ;;È un criterio che viene utilizzato come stima in dei calcoli.;regola per semplificare e ottimizzare la soluzione di un problema  ;Approccio di problem solving;insieme di strategie;metrica usata per guidare una strategia;insieme di strategie da utilizzare come linee guida;;;Approccio alla ricerca basato sull'evidenza empirica e sull'intuizione;Funzione utilizzata per stimare la distanza dallo stato attuale al goal.;;Criterio utilizzato al fine dell'ottenimento di un determinato obiettivo;scorciatoia mentale utilizzata per risolvere problemi complessi;"stima che viene utilizzata per calcolare i costi più ottimali nella ricerca di soluzioni algoritmiche nel campo informatico
 
";approssimazione fatta rispetto a un insieme di strategie o un comportamento reale, tipicamente seguita per ottenere una semplificazione ;funzione che permette di calcolare un risultato che dovrà poi essere validato;un insieme di metodi di ricerca che facilitano la scoperta delle cose precedentemente sconosciute;strategia o procedimento per ricercare elementi pratici o teorici per risolvere un problema;E' un valore di stima per difetto
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
